product_id,description
77221333,"“Tôi trở lại những việc đầu tiên đã mang tôi đến cuộc hành trình kinh doanh. Đó chính là tình yêu của tôi dành cho ẩm thực, nấu ăn và công việc sáng tạo. Tôi để trái tim dẫn đường và không quan trọng con đường ấy dẫn tôi đến đâu.” Đào Chi Anh từng là cái tên phủ khắp các mặt báo. Cô gái nói được bốn thứ tiếng, xinh đẹp, học tập xuất sắc, food blogger nổi tiếng, ở tuổi 31 đã trở thành CEO của KAfe Group,với số vốn hoạt động 5.5 triệu USD. Lóa mắt bởi thành công và danh hiệu, xa rời đam mê của bản thân, Đào Chi Anh đã không đủ tỉnh táo để bơi giữa bể cá mập khốc liệt: KAfe sụp đổ. Trở về nhà chia sẻ câu chuyện của Chi Anh từ ấu thơ đến khi gây dựng sự nghiệp, đến đỉnh cao và thất bại, đến cách vượt qua cú ngã tìm lại sự yên bình. Trở về nhà, nghĩa là trở về Việt Nam, là coi trọng giá trị gia đình, là thấu hiểu bản thân. Giờ đây cô hài lòng với công việc kinh doanh đồ bếp, làm tư vấn cho các dự án ẩm thực, đồng thời tư vấn dinh dưỡng và rèn luyện sức khỏe cho phụ nữ. Trở về nhà cũng chia sẻ những kinh nghiệm làm việc mà tác giả có được trong môi trường doanh nghiệp, những kỹ năng và thái độ cần thiết để phát triển bản thân, qua đó hy vọng cuốn sách có thể giúp những người trẻ kiến thức nhất định trên con đường sự nghiệp đang rộng mở."
106362420,"Nhà tâm lý học nổi tiếng Carol S. Dweck sau nhiều thập niên nghiên cứu về thành công đã khám phá ra một ý tưởng thực sự mang tính đột phá – sức mạnh tư duy của chúng ta.
Cuốn sách sẽ cho bạn thấy không chỉ khả năng và tài trí mới mang lại thành công cho chúng ta, mà phần lớn do cách tiếp cận mục tiêu bằng lối tư duy nào. Việc tán dương trí thông minh và khả năng của con bạn không hề nuôi dưỡng lòng tự trọng và dẫn đến thành tựu, mà thậm chí còn phương hại đến thành công sau này. Với tư duy đứng đắn, chúng ta có thể tạo động lực cho con cái và giúp chúng phát triển trong trường học, cũng như đạt được mục tiêu của bản thân trong cuộc sống và sự nghiệp. Dweck đã giúp tất cả các bậc cha mẹ, giáo viên, CEO và vận động viên thấy một ý tưởng đơn giản về não bộ có thể tạo ra tình yêu học tập và sự kiên trì – cơ sở cho những thành tựu vĩ đại ở mọi lĩnh vực."
106362101,"Đây là một cuốn sách có nội dung thiết thực, hữu ích. Nó cung cấp cho bạn đọc những tri thức, kỹ năng sống, bài học bổ ích trong lĩnh vực kinh doanh nói riêng và cuộc sống nói chung. Cuốn sách là một cẩm nang không thể bỏ qua đối với những ai đang có ý định lập nghiệp bằng con đường kinh doanh, cũng như những ai đã và đang thành công trên thương trường.
“Năm 1995, tôi tình cờ mua cuốn sách Làm nên. Tôi đã mê mải đọc nó chỉ trong một ngày. Làm nên đã trở thành sách gối đầu giường của tôi thời đó. Tôi đã đọc được ở đây những lời khuyên vô cùng giá trị và hữu ích mà không thể tìm thấy ở bất cứ đâu. Đọc xong nó, tôi tự tin hơn với những suy nghĩ có phần ”lệch lạc“ so với lối suy nghĩ thông thường, so với những gì tôi thường được dạy. Tôi bắt đầu thay đổi cách dùng thời gian rảnh rỗi của mình. Tôi bớt đi cà phê, tụ tập với đám bạn mà tìm kiếm những việc hữu ích cho mình, đó là đọc sách và suy ngẫm, gặp gỡ những người giỏi hơn mình để trò chuyện, trao đổi...”"
106362224,"Tìm hạnh phúc, kiếm triệu đô, sống cuộc đời mơ ước
“Đây là một thế giới mới”, Altucher nói, và những cách thức truyền thống để thành công không còn phù hợp nữa. “Cách duy nhất mà chúng ta có thể trở thành một doanh nhân, nghệ sĩ, nhà cải tiến hay bất cứ điều gì chúng ta muốn để đạt được cuộc sống thành công đó là lựa chọn chính chúng ta cho thành công đó”. Trong một buổi nói chuyện vào năm 2013 với Tạp chí Business Insider, Altucher chia sẻ: “Chúng ta không còn dựa vào các mô hình cũ để tạo ra sự an toàn và thành công mà chúng ta xứng đáng được nhận”.
Cuốn sách này sẽ cung cấp rất nhiều câu chuyện thất bại cũng như thành công của các doanh nhân trên con đường làm giàu. Những ý tưởng của Altucher về việc làm giàu chắc chắn sẽ là thách thức nhưng cũng là cơ hội thay đổi cách suy nghĩ về kế hoạch kinh doanh mà bạn đang theo đuổi."
249876837,"Bằng giọng văn và ngôn ngữ dí dỏm, tác giả chia sẻ với các bạn trẻ nhiều trải nghiệm, bài học và kỹ năng mềm từ khi bước vào giảng đường đại học, đi làm rồi làm sếp. Bạn trẻ thế hệ Y, đặc biệt là thế hệ Z, sẽ tìm thấy được nhiều thứ hữu ích mà đôi khi mình chưa tìm được câu trả lời ở đâu khác, từ việc chọn trường đến kỹ năng làm CV, kỹ năng đi phỏng vấn, kỹ năng đi làm và làm giỏi… Còn thế hệ Y tìm thấy nhiều điều thú vị về cách ứng xử tại nơi làm việc – từ ứng xử với đồng nghiệp, với sếp, đến việc trở thành những người đi làm chuyên nghiệp, rồi làm sếp tốt… – work like a pro!
“Thế nên các bạn ạ, nếu một lúc nào đó các bạn thấy mình tệ quá hoặc chẳng tiến bộ gì cả, đừng bỏ cuộc mà hãy dũng cảm đối đầu với nó. Phân tích tại sao và giải pháp như thế nào. Hãy nói với sếp về cảm giác của mình. Sếp sẽ cho một liều hoặc thuốc đặc trị hoặc thuốc bổ, kiểu gì cũng sẽ khỏe hơn thôi.”
“Bởi không phải vô tình người ta thiết kế ra bốn năm đại học. Có học, dù sao vẫn tốt hơn rất nhiều. Đó, em thấy rồi đó. Kiểu gì em cũng về đích thôi mà. Nên là, vấn đề không phải là em chọn sai ngành mà cách em đối diện với sai lầm này. Và học từ vấp ngã từ khi còn rất trẻ này, cũng là một cách để em trưởng thành nhanh hơn đó.”
Ngoài ra, sách còn có nhiều minh họa hài hước!"
54002545,"Chúng ta lập luận khi tranh luận về những điều khoản trong một văn bản pháp lý, trong một hợp đồng thương mại hay tranh tụng tại tòa án; các đại biểu quốc hội tranh luận khi thông qua hay bác bỏ một đạo luật. Một trong những lý do khiến chúng ta không có nhiều luật sư đủ khả năng tranh tụng tại một tòa án quốc tế, như nhiều người đã nhận xét, là năng lực lập luận còn yếu kém. Tập sách này cung cấp những kiến thức “nền” về lập luận với ví dụ minh họa, dẫn chứng sinh động từ những nguồn ngữ liệu có uy tín, sách chuyên ngành ngôn ngữ nhưng nội dung dễ hiểu, những bạn đọc quan tâm ở mọi trình độ có thể dễ dàng tiếp cận và ứng dụng những kiến thức này vào việc học tập, công việc cũng như trong đời sống. Những kiến thức sách cung cấp có tính ứng dụng cao, tạo thói quen và củng cố tư duy phản biện, đặc biệt hữu ích cho học sinh, sinh viên."
41294602,"Trong một thế giới do dữ liệu thống trị, trực quan hóa chính là ngôn ngữ chung của con người. Trong một thời gian dài, việc trực quan hóa dữ liệu là công việc dành riêng cho các chuyên gia - nhà khoa học dữ liệu và nhà thiết kế chuyên nghiệp. Nhưng giờ đây thì không như vậy. Một thế hệ công cụ mới và số lượng lớn dữ liệu có sẵn giúp mọi người dễ dàng tìm ra các hình ảnh minh họa trực quan truyền đạt ý tưởng hiệu quả hơn nhiều so với bảng tính nói chung. Các biểu đồ, đồ thị, bản đồ, sơ đồ, thậm chí các ảnh động GIF và biểu tượng cảm xúc đều giúp con người hiểu và gắn kết với nhau. Trong cuốn sách Thiết kế biểu đồ ưu việt, Scott Berinato cung cấp một hướng dẫn cần thiết giúp bạn hiểu được cách hoạt động của hình ảnh minh họa trực quan và cách sử dụng ngôn ngữ mới này để tạo ấn tượng và thuyết phục. Cuốn sách này giúp bạn biến các biểu đồ đơn giản, không gây được hứng thú chỉ đơn thuần là truyền đạt thông tin thành những hình ảnh minh họa trực quan thông minh, hiệu quả, truyền đạt ý tưởng một cách mạnh mẽ."
106362692,"William Kamkwamba sinh ra tại Malawi – nơi ma thuật vẫn thống trị còn khoa học là điều bí ẩn. Đây cũng là vùng đất kiệt quệ vì hạn hán và nạn đói. Nhưng William đã được đọc về các guồng gió và mơ ước sẽ dựng được một guồng gió để mang lại cho ngôi làng nhỏ của mình hai thứ xa xỉ mà chỉ 2% dân Malawi được hưởng: điện và nước máy. Xóm giềng nói anh misala (điên rồ), nhưng William không từ bỏ ước mơ. Bằng một chồng sách khoa học từng bị bỏ quên, chút kim loại vụn, các bộ phận dỡ ra từ máy kéo và xe đạp, cùng trí tò mò và lòng quyết tâm dồi dào, anh bắt đầu kế hoạch táo bạo để tạo nên một cỗ máy chẳng giống ai và điều kỳ diệu nho nhỏ sẽ làm thay đổi cuộc sống quanh mình.
Người thu gió là câu chuyện phi thường mà có thực về óc sáng tạo của con người và khả năng vượt qua nghịch cảnh. Đây sẽ là nguồn cảm hứng cho bất cứ ai còn đang nghi ngại sức mạnh của khả năng có trong mỗi cá nhân để làm thay đổi cộng đồng của mình và mang lại cuộc sống tốt đẹp hơn cho những người xung quanh."
106362317,"Nhà tâm lý học nổi tiếng Carol S. Dweck sau nhiều thập niên nghiên cứu về thành công đã khám phá ra một ý tưởng thực sự mang tính đột phá – sức mạnh tư duy của chúng ta.
Cuốn sách sẽ cho bạn thấy không chỉ khả năng và tài trí mới mang lại thành công cho chúng ta, mà phần lớn do cách tiếp cận mục tiêu bằng lối tư duy nào. Việc tán dương trí thông minh và khả năng của con bạn không hề nuôi dưỡng lòng tự trọng và dẫn đến thành tựu, mà thậm chí còn phương hại đến thành công sau này. Với tư duy đứng đắn, chúng ta có thể tạo động lực cho con cái và giúp chúng phát triển trong trường học, cũng như đạt được mục tiêu của bản thân trong cuộc sống và sự nghiệp. Dweck đã giúp tất cả các bậc cha mẹ, giáo viên, CEO và vận động viên thấy một ý tưởng đơn giản về não bộ có thể tạo ra tình yêu học tập và sự kiên trì – cơ sở cho những thành tựu vĩ đại ở mọi lĩnh vực."
106362569,"Cuốn sách là tuyển tập 10 bài viết nhất-định-phải-đọc trên tạp chí Harvard Business Review về chủ đề đổi mới sáng tạo. Chúng tôi vẫn luôn nhận thấy lý do mà các công ty hoạt động lâu năm thất bại trong việc đổi mới là vì những nhà quản lý không có những công cụ tốt giúp họ hiểu về thị trường, xây dựng thương hiệu, tìm kiếm khách hàng, lựa chọn nhận viên, tổ chức đội ngũ và phát triển chiến lược. Cuốn sách này sẽ cung cấp cho bạn đầy đủ những công cụ đó."
